product name,color,description,url,time,price,currency,size,region,category
Quilted Virtus Shoulder Bag,"pink,white,orange,black,pink","Debuting on the Fall-Winter 2019 runway, the Virtus bag takes its name from the Roman deity and symbolizes strength, courage, and character.",https://www.versace.com/us/en-us/women/bags/shoulder-bags/quilted-virtus-shoulder-bag-k5bgt/DBFG985-DNATR4_DTU_UNICA_K5BGT__.html?cgid=142200,2020-04-05 19:43:19.365709,"$1,975",USD,one-size,us,"women,bags,shoulder-bags"
Quilted Virtus Shoulder Bag,"pink,white,orange,black,pink","Debuting on the Fall-Winter 2019 runway, the Virtus bag takes its name from the Roman deity and symbolizes strength, courage, and character.",https://www.versace.com/us/en-us/women/bags/shoulder-bags/quilted-virtus-shoulder-bag-k6bot/DBFG985-DNATR4_DTU_UNICA_K6BOT__.html?cgid=142200,2020-04-05 19:43:19.396067,"$1,975",USD,one-size,us,"women,bags,shoulder-bags"
Quilted Virtus Evening Bag,"blue,pink,black,orange,white,pink","Debuting on the Fall-Winter 2019 runway, the Virtus bag takes its name from the Roman deity and symbolizes strength, courage, and character.",https://www.versace.com/us/en-us/women/bags/shoulder-bags/quilted-virtus-evening-bag-k41ot/DBFH209-DNATR4_DTU_UNICA_K41OT__.html?cgid=142200,2020-04-05 19:43:19.432378,$895,USD,one-size,us,"women,bags,shoulder-bags"
Quilted Virtus Shoulder Bag,"pink,white,orange,black,pink","Debuting on the Fall-Winter 2019 runway, the Virtus bag takes its name from the Roman deity and symbolizes strength, courage, and character.",https://www.versace.com/us/en-us/women/bags/shoulder-bags/quilted-virtus-shoulder-bag-k41ot/DBFG985-DNATR4_DTU_UNICA_K41OT__.html?cgid=142200,2020-04-05 19:43:19.458643,"$1,975",USD,one-size,us,"women,bags,shoulder-bags"
Quilted Virtus Evening Bag,"blue,pink,black,orange,white,pink","Debuting on the Fall-Winter 2019 runway, the Virtus bag takes its name from the Roman deity and symbolizes strength, courage, and character.",https://www.versace.com/us/en-us/women/bags/shoulder-bags/quilted-virtus-evening-bag-k0aot/DBFH209-DNATR4_DTU_UNICA_K0AOT__.html?cgid=142200,2020-04-05 19:43:19.498119,$895,USD,one-size,us,"women,bags,shoulder-bags"
Barocco Patent Leather Pumps,"black,red","Crafted in patent leather, these pointed toe pumps boast the heritage Barocco print on the insole.",https://www.versace.com/us/en-us/women/shoes/pumps/barocco-patent-leather-pumps-d41oh/DST021P-DVE21_D41OH.html?cgid=131100,2020-04-05 19:43:19.531519,$625,USD,"35,36,37,37.5,38,38.5,39,39.5,40,41",us,"women,shoes,pumps"
Studded Leather Pumps,black,"Crafted in supple calf leather, these pointed toe, high heel, platform pumps are enriched with gold-tone studwork along the topline and the",https://www.versace.com/us/en-us/women/shoes/pumps/studded-leather-pumps-d41oh/DST205T-DVT4X_D41OH.html?cgid=131100,2020-04-05 19:43:19.567357,"$1,350",USD,"36,37,37.5,38,38.5,39,40,41",us,"women,shoes,pumps"
Barocco Patent Leather Pumps,"black,red","Crafted in patent leather, these pointed toe pumps boast the heritage Barocco print on the insole.",https://www.versace.com/us/en-us/women/shoes/pumps/barocco-patent-leather-pumps-k6noh/DST021P-DVE21_K6NOH.html?cgid=131100,2020-04-05 19:43:19.593145,$625,USD,"36,37,37.5,38,38.5,39,40,41",us,"women,shoes,pumps"
Platform Palazzo Pumps,red,"High heel, pointed toe pumps with a platform crafted from patent calf leather. Feature a tonal three dimensional gold tone Medusa embellishm",https://www.versace.com/us/en-us/women/shoes/pumps/platform-palazzo-pumps-kt4oh/DSR384S-D2VCE_KT4OH.html?cgid=131100,2020-04-05 19:43:19.617360,$995,USD,"36,37,37.5,38,40,41",us,"women,shoes,pumps"
Palazzo Platform Pumps,black,"Crafted from supple calf leather, these platform pumps are enriched with a three-dimensional Medusa plaque on the pointed toes. The pumps ar",https://www.versace.com/us/en-us/women/shoes/pumps/palazzo-platform-pumps-dnarh/DSR384S-DVS8_DNARH.html?cgid=131100,2020-04-05 19:43:19.658879,"$1,475",USD,"36,37,37.5,38,38.5,39,40,41",us,"women,shoes,pumps"
Medusa Western Cage Pumps,black,"Drawing from the House's rich heritage, these leather cage pumps are embellished with western-inspired hardware: transforming the emblematic",https://www.versace.com/us/en-us/women/shoes/pumps/medusa-western-cage-pumps-d41oh/DST156P-DVT4X_D41OH.html?cgid=131100,2020-04-05 19:43:19.674145,"$1,925",USD,"36,37,37.5,38,38.5,39,40,41",us,"women,shoes,pumps"
V-Bow Cage Pumps,black,"These heritage cage pumps are crafted from soft satin and embellished with crystal-enriched accents, including bows and Medusa medallions.",https://www.versace.com/us/en-us/women/shoes/pumps/v-bow-cage-pumps-d41oh/DST062P-DRA6_D41OH.html?cgid=131100,2020-04-05 19:43:19.691555,"$2,475",USD,"36,37,37.5,38,38.5,39,40,41",us,"women,shoes,pumps"
Virtus Platform Pumps,black,"Crafted in the softest calf leather, these pointed toe, platform pumps are enriched with Virtus V hardware on the toes.",https://www.versace.com/us/en-us/women/shoes/pumps/virtus-platform-pumps-d41oh/DST177S-DVT2P_D41OH.html?cgid=131100,2020-04-05 19:43:19.725942,"$1,125",USD,"35,36,36.5,37,37.5,38,38.5,39,39.5,40,41",us,"women,shoes,pumps"
Barocco Print Palazzo Pumps,print,"Crafted from supple calf leather in the Barocco print, these pointed-toe pumps are embellished with a three-dimensional Medusa plaque on the",https://www.versace.com/us/en-us/women/shoes/pumps/barocco-print-palazzo-pumps-d4doh/DSL936P-DVB9_D4DOH.html?cgid=131100,2020-04-05 19:43:19.760772,$995,USD,"36,36.5,37,37.5,38,38.5,39,39.5,40,41",us,"women,shoes,pumps"
Transparent Heel Pumps,"black,white","Classic, with a twist - these patent leather pumps are embellished with a clear, plexi heel seen on the runway.",https://www.versace.com/us/en-us/women/shoes/pumps/transparent-heel-pumps-d41/DST312P-D2VE_D41.html?cgid=131100,2020-04-05 19:43:19.819434,"$1,125",USD,"36,36.5,37,38,38.5,39,40",us,"women,shoes,pumps"
Transparent Heel Pumps,"black,white","Classic, with a twist - these patent leather pumps are embellished with a clear, plexi heel seen on the runway.",https://www.versace.com/us/en-us/women/shoes/pumps/transparent-heel-pumps-k0a/DST312P-D2VE_K0A.html?cgid=131100,2020-04-05 19:43:19.836441,"$1,125",USD,"36,37,38,38.5,39,40",us,"women,shoes,pumps"
Barocco Pumps,"black,white,red","Crafted from supple calf leather, these pointed toe, patent leather pumps feature the heritage Barocco print.",https://www.versace.com/us/en-us/women/shoes/pumps/barocco-pumps-k0aoh/DST037M-DVE21_K0AOH.html?cgid=131100,2020-04-05 19:43:19.888062,$625,USD,"36,36.5,39,39.5,40",us,"women,shoes,pumps"
Barocco Pumps,"black,white,red","Crafted from supple calf leather, these pointed toe, patent leather pumps feature the heritage Barocco print.",https://www.versace.com/us/en-us/women/shoes/pumps/barocco-pumps-k6noh/DST037M-DVE21_K6NOH.html?cgid=131100,2020-04-05 19:43:19.921619,$625,USD,"36,37,37.5,38,38.5,39,40,41",us,"women,shoes,pumps"
Virtus Pumps,Gold,"Crafted from exceptionally supple calf leather, these pointed toe pumps are enriched with emblematic Virtus V hardware at the heel.",https://www.versace.com/us/en-us/women/shoes/pumps/virtus-pumps-d41op/DST206P-DVT2P_D41OP.html?cgid=131100,2020-04-05 19:43:19.937357,"$1,125",USD,"36,37,37.5,38,38.5,39,40,41",us,"women,shoes,pumps"
Barocco Pumps,"black,white,red","Crafted from supple calf leather, these pointed toe, patent leather pumps feature the heritage Barocco print.",https://www.versace.com/us/en-us/women/shoes/pumps/barocco-pumps-d41oh/DST037M-DVE21_D41OH.html?cgid=131100,2020-04-05 19:43:19.995476,$625,USD,"36,37,37.5,38,38.5,39,40,41",us,"women,shoes,pumps"
Tie-Dye Pumps,pink,"Seen on the runway, these pointed toe pumps boast the Tie-Dye print. The signature style is enriched with a clear, plexi heel.",https://www.versace.com/us/en-us/women/shoes/pumps/tie-dye-pumps-dbf/DST312P-DV23_DBF.html?cgid=131100,2020-04-05 19:43:20.009348,"$1,225",USD,"36,37,38,38.5,39,40",us,"women,shoes,pumps"
